,CIK,coName,formtype,date,fName,length
1,0001289850,"NeuroMetrix, Inc.",10-K,20171231,267762.txt,"132616
"
2,0001345016,YELP INC,10-K,20191231,280603.txt,"152323
"
3,0001245791,"GI DYNAMICS, INC.",10-K,20171231,267435.txt,"28236
"
4,0001772177,"KURA SUSHI USA, INC.",10-K,20190831,275323.txt,"38468
"
5,0000832428,E.W. SCRIPPS Co,10-K,20181231,277539.txt,"197843
"
6,0001513761,Norwegian Cruise Line Holdings Ltd.,10-K,20171231,270762.txt,"157541
"
7,0001678361,World Omni Automobile Lease Securitization Trust 2016-A,10-K,20171231,274077.txt,"502
"
8,0001029199,EURONET WORLDWIDE INC,10-K,20171231,265478.txt,"172636
"
9,0001341766,"Celsius Holdings, Inc.",10-K,20191231,280595.txt,"132197
"
10,0001679826,Ping Identity Holding Corp.,10-K,20191231,283125.txt,"100202
"
11,0001549631,"Quarta-Rad, Inc.",10-K,20191231,281916.txt,"540
"
12,0001077771,UMPQUA HOLDINGS CORP,10-K,20191231,279623.txt,"0
"
13,0001650445,Quorum Health Corp,10-K,20191231,282859.txt,"146425
"
14,0000049600,EASTGROUP PROPERTIES INC,10-K,20191231,284462.txt,"20617
"
15,0001464300,"ALL MARKETING SOLUTIONS, INC.",10-K,20171231,270024.txt,"5452
"
16,0000911177,CASELLA WASTE SYSTEMS INC,10-K,20191231,285606.txt,"0
"
17,0001174891,"CalEthos, Inc.",10-K,20191231,280098.txt,"88622
"
18,0001357660,"STRATS(SM) Trust for Allstate Corp Securities, Series 2006-3",10-K,20191231,280672.txt,"240
"
19,0001683413,BMW Vehicle Lease Trust 2016-2,10-K,20181231,274227.txt,"277
"
20,0001128361,HOPE BANCORP INC,10-K,20171231,266806.txt,"99437
"
21,0001693696,UNITED CAPITAL CONSULTANTS INC.,10-K,20191231,283268.txt,"90266
"
22,0001091596,"Nuo Therapeutics, Inc.",10-K,20181231,266373.txt,"49906
"
23,0001393359,MAN FRM MANAGED FUTURES STRATEGIES LLC,10-K,20171231,269026.txt,"134210
"
24,0000721371,CARDINAL HEALTH INC,10-K,20190630,276510.txt,"0
"
25,0001572565,Indoor Harvest Corp,10-K,20171231,271780.txt,"162911
"
26,0001570132,"ANVI GLOBAL HOLDINGS, INC.",10-K,20200229,282091.txt,"9253
"
27,0001630176,GREY CLOAK TECH INC.,10-K,20191231,282682.txt,"33461
"
28,0000083350,RESERVE PETROLEUM CO,10-K,20191231,285179.txt,"23514
"
29,0001323468,GLOBAL PARTNERS LP,10-K,20191231,280499.txt,"66133
"
30,0001709987,Toyota Auto Receivables 2017-C Owner Trust,10-K,20191231,283423.txt,"236
"
31,0000846913,"FUEL TECH, INC.",10-K,20191231,285225.txt,"905
"
32,0000004962,AMERICAN EXPRESS CO,10-K,20181231,276013.txt,"76683
"
33,0001505952,"DOMO, INC.",10-K,20200131,281615.txt,"150820
"
34,0001530163,"Darkstar Ventures, Inc.",10-K,20190731,271056.txt,"0
"
35,0001438423,EVERSPIN TECHNOLOGIES INC,10-K,20191231,281230.txt,"22583
"
36,0000846913,"FUEL TECH, INC.",10-K,20181231,277662.txt,"905
"
37,0000016058,CACI INTERNATIONAL INC /DE/,10-K,20190630,272517.txt,"38807
"
38,0001654785,Capital Auto Receivables Asset Trust 2015-4,10-K,20191231,282910.txt,"1001
"
39,0000778946,BLUEGREEN VACATIONS CORP,10-K,20181231,276999.txt,"85703
"
40,0001669162,"Kinsale Capital Group, Inc.",10-K,20191231,283028.txt,"350742
"
41,0001642375,"Guardion Health Sciences, Inc.",10-K,20171231,273338.txt,"111573
"
42,0001575428,"Strategic Storage Growth Trust, Inc.",10-K,20171231,271856.txt,"51851
"
43,0001430319,C & C TOURS INC,10-K,20191231,281172.txt,"18123
"
44,0001621368,COMM 2014-UBS6 Mortgage Trust,10-K,20181231,272884.txt,"378
"
45,0001414767,ValueSetters Inc.,10-K,20190430,269380.txt,"492
"
46,0000930420,KFORCE INC,10-K,20191231,285753.txt,"37732
"
47,0001688852,"Safety, Income & Growth, Inc.",10-K,20171231,274327.txt,"74657
"
48,0001383054,POWERSHARES DB SILVER FUND,10-K,20171231,268590.txt,"30084
"
49,0000889123,REDWOOD MORTGAGE INVESTORS VIII,10-K,20171231,278199.txt,"22618
"
50,0001459417,"2U, Inc.",10-K,20171231,269972.txt,"733
"
51,0000827054,MICROCHIP TECHNOLOGY INC,10-K,20200331,285147.txt,"135515
"
52,0000868271,SEVERN BANCORP INC,10-K,20191231,285320.txt,"67282
"
53,0000072331,NORDSON CORP,10-K,20181031,276540.txt,"22943
"
54,0001628908,"Evolent Health, Inc.",10-K,20181231,273038.txt,"150827
"
55,0001460702,RITTER PHARMACEUTICALS INC,10-K,20181231,269986.txt,"0
"
56,0000919956,"Diversicare Healthcare Services, Inc.",10-K,20181231,278645.txt,"187860
"
57,0001544206,"TCG BDC, INC.",10-K,20191231,281893.txt,"212734
"
58,0001162283,MORGAN GROUP HOLDING CO,10-K,20191231,280029.txt,"17179
"
59,0000922224,PPL Corp,10-K,20191231,281703.txt,"281462
"
60,0000019584,CHEMED CORP,10-K,20191231,284154.txt,"166880
"
61,0001642081,"Allegiance Bancshares, Inc.",10-K,20171231,273332.txt,"1091
"
62,0001472091,PDS Biotechnology Corp,10-K,20191231,281395.txt,"195401
"
63,0001363829,Enstar Group LTD,10-K,20171231,268538.txt,"0
"
64,0000020639,AMBASE CORP,10-K,20191231,284173.txt,"9902
"
65,0001365916,"AMYRIS, INC.",10-K,20171231,268568.txt,"58078
"
66,0001729756,Fintech Acquisition Corp. III,10-K,20191231,283614.txt,"118090
"
67,0001606698,Alpine 4 Technologies Ltd.,10-K,20181231,272545.txt,"46427
"
68,0000726516,FIRST EQUITY PROPERTIES INC,10-K,20181231,276579.txt,"486
"
69,0000040729,Ally Financial Inc.,10-K,20171231,275923.txt,"95221
"
70,0001746468,EdtechX Holdings Acquisition Corp.,10-K,20191231,283756.txt,"0
"
71,0000892222,"CRAFT BREW ALLIANCE, INC.",10-K,20171231,278253.txt,"120915
"
72,0001752363,DBGS 2018-C1 Mortgage Trust,10-K,20181231,275264.txt,"378
"
