FileName,Standard Industrial Classification
267762.txt,['3841']
280603.txt,['7200']
267435.txt,['3841']
275323.txt,['5812']
277539.txt,['4833']
270762.txt,['4400']
274077.txt,['6189']
265478.txt,['6099']
280595.txt,['2086']
283125.txt,['7372']
281916.txt,['3823']
279623.txt,['6035']
282859.txt,['8062']
284462.txt,['6798']
270024.txt,['6794']
285606.txt,['4953']
280098.txt,['6798']
280672.txt,['6189']
274227.txt,['6189']
266806.txt,['6021']
283268.txt,['6770']
266373.txt,['3841']
269026.txt,['6221']
276510.txt,['5122']
271780.txt,['3590']
282091.txt,['5400']
282682.txt,['7374']
285179.txt,['1311']
280499.txt,['5171']
283423.txt,['6189']
285225.txt,['3564']
276013.txt,['6199']
281615.txt,['7372']
271056.txt,['5990']
281230.txt,['3674']
277662.txt,['3564']
272517.txt,['7373']
282910.txt,"['6189', '6189']"
276999.txt,['6531']
283028.txt,['6331']
273338.txt,['2834']
271856.txt,['6798']
281172.txt,['6770']
272884.txt,['6189']
269380.txt,['7900']
285753.txt,['7363']
274327.txt,['6519']
268590.txt,"['6221', '6221']"
278199.txt,['6500']
269972.txt,['7372']
285147.txt,['3674']
285320.txt,['6021']
276540.txt,['3569']
273038.txt,['8741']
269986.txt,['2834']
278645.txt,['8051']
281893.txt,[]
280029.txt,['6200']
281703.txt,"['4911', '4911', '4931', '4911', '4931']"
284154.txt,['8082']
273332.txt,['6022']
281395.txt,['2834']
268538.txt,['6331']
284173.txt,['6512']
268568.txt,['2860']
283614.txt,['6770']
272545.txt,['3669']
276579.txt,['6798']
275923.txt,['6172']
283756.txt,['6770']
278253.txt,['2082']
275264.txt,['6189']
280737.txt,['4899']
270034.txt,['1000']
272933.txt,['3089']
267365.txt,['5731']
273021.txt,['7371']
271671.txt,['7381']
265514.txt,"['4932', '4922', '4931']"
276656.txt,['6324']
275585.txt,['3420']
268539.txt,['6331']
277533.txt,['2834']
280978.txt,['2834']
272292.txt,['6189']
284230.txt,['6153']
285480.txt,['2844']
268656.txt,['2860']
273942.txt,['6189']
280748.txt,['3577']
268476.txt,['2834']
284183.txt,['3561']
280304.txt,['3674']
