CIK,coName,formtype,date,fName,length,full_link,performance,clstr
1345016,YELP INC,10-K,2019-12-31,280603.txt,152323,/blue/acg7849/share/BS/item1/280603.txt,0.0381815635,36
1772177,"KURA SUSHI USA, INC.",10-K,2019-08-31,275323.txt,38468,/blue/acg7849/share/BS/item1/275323.txt,0.0190550975,21
1341766,"Celsius Holdings, Inc.",10-K,2019-12-31,280595.txt,132197,/blue/acg7849/share/BS/item1/280595.txt,0.1103206391,43
1679826,Ping Identity Holding Corp.,10-K,2019-12-31,283125.txt,100202,/blue/acg7849/share/BS/item1/283125.txt,-0.001723168,24
1650445,Quorum Health Corp,10-K,2019-12-31,282859.txt,146425,/blue/acg7849/share/BS/item1/282859.txt,-0.109879113,1
49600,EASTGROUP PROPERTIES INC,10-K,2019-12-31,284462.txt,20617,/blue/acg7849/share/BS/item1/284462.txt,0.047784082,14
83350,RESERVE PETROLEUM CO,10-K,2019-12-31,285179.txt,23514,/blue/acg7849/share/BS/item1/285179.txt,-0.007473967,9
1323468,GLOBAL PARTNERS LP,10-K,2019-12-31,280499.txt,66133,/blue/acg7849/share/BS/item1/280499.txt,0.0127712061,11
1438423,EVERSPIN TECHNOLOGIES INC,10-K,2019-12-31,281230.txt,22583,/blue/acg7849/share/BS/item1/281230.txt,-0.414706548,45
16058,CACI INTERNATIONAL INC /DE/,10-K,2019-06-30,272517.txt,38807,/blue/acg7849/share/BS/item1/272517.txt,0.0522139174,17
1669162,"Kinsale Capital Group, Inc.",10-K,2019-12-31,283028.txt,350742,/blue/acg7849/share/BS/item1/283028.txt,0.0580587777,3
930420,KFORCE INC,10-K,2019-12-31,285753.txt,37732,/blue/acg7849/share/BS/item1/285753.txt,0.1431708757,17
868271,SEVERN BANCORP INC,10-K,2019-12-31,285320.txt,67282,/blue/acg7849/share/BS/item1/285320.txt,0.0101267476,4
1544206,"TCG BDC, INC.",10-K,2019-12-31,281893.txt,212734,/blue/acg7849/share/BS/item1/281893.txt,0.0280361485,0
1162283,MORGAN GROUP HOLDING CO,10-K,2019-12-31,280029.txt,17179,/blue/acg7849/share/BS/item1/280029.txt,-0.234361558,23
922224,PPL Corp,10-K,2019-12-31,281703.txt,281462,/blue/acg7849/share/BS/item1/281703.txt,0.0382224168,27
19584,CHEMED CORP,10-K,2019-12-31,284154.txt,166880,/blue/acg7849/share/BS/item1/284154.txt,0.1733975024,1
1472091,PDS Biotechnology Corp,10-K,2019-12-31,281395.txt,195401,/blue/acg7849/share/BS/item1/281395.txt,-0.482989442,47
20639,AMBASE CORP,10-K,2019-12-31,284173.txt,9902,/blue/acg7849/share/BS/item1/284173.txt,-0.361541284,33
1729756,Fintech Acquisition Corp. III,10-K,2019-12-31,283614.txt,118090,/blue/acg7849/share/BS/item1/283614.txt,0.0121285008,5
1368365,"REMARK HOLDINGS, INC.",10-K,2019-12-31,280737.txt,44192,/blue/acg7849/share/BS/item1/280737.txt,-1.551493896,29
1370880,"FireEye, Inc.",10-K,2019-12-31,280748.txt,91188,/blue/acg7849/share/BS/item1/280748.txt,-0.089053882,24
1280452,MONOLITHIC POWER SYSTEMS INC,10-K,2019-12-31,280304.txt,26048,/blue/acg7849/share/BS/item1/280304.txt,0.1138036858,45
896156,ETHAN ALLEN INTERIORS INC,10-K,2019-06-30,278334.txt,62994,/blue/acg7849/share/BS/item1/278334.txt,0.0503535802,40
785557,DLH Holdings Corp.,10-K,2019-09-30,277039.txt,37662,/blue/acg7849/share/BS/item1/277039.txt,0.0411889399,17
1396033,"Lumber Liquidators Holdings, Inc.",10-K,2019-12-31,280938.txt,22884,/blue/acg7849/share/BS/item1/280938.txt,0.0162128424,22
26780,DANA INC,10-K,2019-12-31,284222.txt,164546,/blue/acg7849/share/BS/item1/284222.txt,0.0313019391,37
1645590,Hewlett Packard Enterprise Co,10-K,2019-10-31,273416.txt,94600,/blue/acg7849/share/BS/item1/273416.txt,0.0202497925,24
716643,REGIS CORP,10-K,2019-06-30,276448.txt,251053,/blue/acg7849/share/BS/item1/276448.txt,-0.029468233,21
317540,"Coca-Cola Consolidated, Inc.",10-K,2019-12-29,284300.txt,177665,/blue/acg7849/share/BS/item1/284300.txt,0.003637758,35
1104855,"Support.com, Inc.",10-K,2019-12-31,279795.txt,20993,/blue/acg7849/share/BS/item1/279795.txt,0.1011041009,24
885978,U S PHYSICAL THERAPY INC /NV,10-K,2019-12-31,285441.txt,54023,/blue/acg7849/share/BS/item1/285441.txt,0.0713904911,1
